category,journal_title,e_issn,impact_factor,impact_factor_raw
Agricultural and Biological Sciences,NATURE,1476-4687,50.5,50.5
Agricultural and Biological Sciences,Nature Reviews Methods Primers,2662-8449,50.1,50.1
Agricultural and Biological Sciences,SCIENCE,1095-9203,44.7,44.7
Agricultural and Biological Sciences,Innovation,2666-6758,33.2,33.2
Agricultural and Biological Sciences,Energy & Environmental Science,1754-5706,32.4,32.4
Agricultural and Biological Sciences,Nature Climate Change,1758-6798,29.6,29.6
Agricultural and Biological Sciences,Annual Review of Plant Biology,1545-2123,21.3,21.3
Agricultural and Biological Sciences,Science Bulletin,2095-9281,18.8,18.8
Agricultural and Biological Sciences,TRENDS IN PLANT SCIENCE,1878-4372,17.3,17.3
Agricultural and Biological Sciences,Molecular Plant,1752-9867,17.1,17.1
Agricultural and Biological Sciences,AMERICAN JOURNAL OF BIOETHICS,1536-0075,17.0,17
Agricultural and Biological Sciences,BEHAVIORAL AND BRAIN SCIENCES,1469-1825,16.6,16.6
Agricultural and Biological Sciences,National Science Review,2053-714X,16.3,16.3
Agricultural and Biological Sciences,Financial Innovation,2199-4730,6.9,6.9
Agricultural and Biological Sciences,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,1520-0477,6.9,6.9
Agricultural and Biological Sciences,Plant Stress,2667-064X,6.8,6.8
Agricultural and Biological Sciences,PHYTOMEDICINE,1618-095X,6.7,6.7
Agricultural and Biological Sciences,Current Opinion in Environmental Science & Health,2468-5844,6.7,6.7
Agricultural and Biological Sciences,Environmental Technology & Innovation,2352-1864,6.7,6.7
Agricultural and Biological Sciences,ACS Environmental Au,2694-2518,6.7,6.7
Agricultural and Biological Sciences,Journal of Hazardous Materials Letters,2666-9110,6.6,6.6
Agricultural and Biological Sciences,Big Data & Society,2053-9517,6.5,6.5
Agricultural and Biological Sciences,PLANT PHYSIOLOGY,1532-2548,6.5,6.5
Agricultural and Biological Sciences,ADVANCES IN ATMOSPHERIC SCIENCES,1861-9533,6.5,6.5
Agricultural and Biological Sciences,Advances in Climate Change Research,1674-9278,6.4,6.4
Agricultural and Biological Sciences,Machine Learning-Science and Technology,2632-2153,6.3,6.3
